 mesec;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Januar;494;428;436;373;469;350;309;332;354;349;264;231;208;259;243;208;190;202;190;182;192;163;170;165;153;196;174;171;183;187;147;204;182
Februar;591;493;650;403;343;502;378;541;500;389;407;311;243;344;270;299;280;258;210;280;168;220;198;192;238;183;206;244;202;231;244;203;184
Marec;490;453;375;289;348;386;288;328;341;263;259;255;263;232;295;277;269;284;280;221;178;246;224;255;233;242;281;268;228;262;230;213;222
April;978;1034;890;1004;1225;878;687;599;699;765;702;525;657;560;630;465;531;536;415;492;456;438;415;484;425;453;383;418;358;350;391;440;437
Maj;1487;1538;1546;1155;1260;1165;1248;1430;1405;1275;1285;1073;1319;1240;1272;1112;1003;1023;1181;1092;893;902;857;1086;1044;1076;984;1022;936;1029;914;941;882
Junij;1100;950;1019;734;894;958;885;923;990;869;962;1115;826;885;866;874;947;1098;877;883;713;876;965;978;966;900;963;1177;1015;1013;934;1009;989
Julij;973;957;934;875;1045;710;651;821;992;974;867;643;711;735;984;908;689;736;706;750;762;795;953;736;718;872;919;802;713;695;739;900;1011
Avgust;1113;1195;1148;863;936;757;997;1243;966;878;922;1031;1071;1019;751;851;792;941;947;778;750;759;682;997;917;811;842;856;932;1028;978;840;797
September;934;975;1065;837;1188;1000;966;1038;1031;993;1149;956;927;980;1011;1136;1055;896;862;860;841;1041;984;877;966;840;885;1048;773;845;900;945;1014
Oktober;929;1025;874;849;853;750;739;838;795;780;675;683;655;638;745;531;507;523;515;531;424;421;475;484;467;496;491;426;421;432;474;471;367
November;757;818;811;592;644;478;476;533;469;386;352;345;342;316;343;285;278;271;277;222;196;244;229;205;201;227;271;226;227;215;234;233;189
December;733;755;559;407;571;583;549;493;480;393;401;387;278;320;306;255;394;296;296;267;196;263;221;244;214;232;272;399;266;284;264;268;207
