 ;Starost - SKUPAJ;Pod 15 let;15-19 let;20-24 let;25-29 let;30-34 let;35-39 let;40-44 let;45-49 let;50-54 let;55-59 let;60 ali ve? let
SLOVENIJA;6481;0;20;382;1575;1856;1192;645;318;214;98;181
Pomurska;361;0;1;11;79;124;70;38;16;15;2;5
Podravska;1098;0;5;52;218;293;218;138;67;49;23;35
Koroška;229;0;0;13;39;57;60;22;20;7;4;7
Savinjska;748;0;1;34;180;204;150;93;41;23;9;13
Zasavska;195;0;2;16;56;56;28;13;10;7;4;3
Posavska;242;0;0;12;57;87;41;22;9;3;4;7
Jugovzhodna Slovenija;492;0;1;29;127;154;93;45;15;14;5;9
Osrednjeslovenska;1716;0;8;125;444;495;289;140;81;56;20;58
Gorenjska;593;0;1;37;169;164;107;55;17;17;9;17
Primorsko-notranjska;168;0;0;8;45;46;38;8;4;1;7;11
Goriška;315;0;0;21;87;92;45;37;16;7;3;7
Obalno-kraška;324;0;1;24;74;84;53;34;22;15;8;9
